Device_ID,Device_Type,User_ID
576,Laptop,000be641-412f-443a-9055-44fed4177754
4414,Smartphone,000d8c31-7308-47bf-b629-74209b7afd24
555,Smartphone,002a1202-e1dd-4f83-8888-45b63b726497
274,Tablet,00310363-33da-4769-9987-ec69a33f6553
5209,Desktop,00310363-33da-4769-9987-ec69a33f6553
492,Smart TV,003c15d8-659a-4de6-b473-2825abe30851
556,Desktop,003c15d8-659a-4de6-b473-2825abe30851
3236,Smart TV,004d4bdb-faad-4569-a50b-a7926aa3bb22
3521,Desktop,0055f039-ecf8-4d85-929d-155725e4d414
2157,Smart TV,005b6f1b-eff6-48fd-9a3c-fae2ef112898
3868,Tablet,005b805b-f509-49f5-934d-7889fa9e9b10
2131,Smart TV,007da7b7-87a2-4af5-a2a3-c38807b23e7d
5396,Smart TV,00859a55-10c3-47df-a9c6-e3685b895517
460,Desktop,00979285-3307-4253-89e2-b1e4031049ef
3602,Laptop,00979285-3307-4253-89e2-b1e4031049ef
870,Smartphone,009beb85-a3e0-48be-afc0-f23aeb0c94f2
1060,Laptop,00a82efe-9a9b-44bf-a248-941f50b71e92
3170,Smartphone,00a82efe-9a9b-44bf-a248-941f50b71e92
5534,Desktop,00a82efe-9a9b-44bf-a248-941f50b71e92
4521,Smartphone,00c0229f-41e9-46dc-8d44-3dade411c2ea
5422,Tablet,00cb1feb-70a1-4393-9edb-017b45af2732
1804,Smartphone,00de2aa5-b676-4f91-88ba-1c57af66d87b
3159,Tablet,00de2aa5-b676-4f91-88ba-1c57af66d87b
3069,Smartphone,00dee732-01c9-44e9-ab3f-28adc3839837
5690,Smartphone,00dee732-01c9-44e9-ab3f-28adc3839837
220,Desktop,00ef8985-51d2-49f4-85db-fdb43fb49dca
1622,Smart TV,00ef8985-51d2-49f4-85db-fdb43fb49dca
1314,Smartphone,01114966-5564-4975-9029-00f803d92281
5427,Smart TV,01114966-5564-4975-9029-00f803d92281
5479,Laptop,01114966-5564-4975-9029-00f803d92281
1249,Smartphone,012aeb60-0e0e-4ded-ad5a-35d28388c7d4
6098,Laptop,012aeb60-0e0e-4ded-ad5a-35d28388c7d4
6127,Laptop,013a1883-a267-4560-ac5e-7d48206e2bbe
3900,Smartphone,0157c2fb-971b-4852-97b1-cd25b7eab3e1
5877,Desktop,0157c2fb-971b-4852-97b1-cd25b7eab3e1
4788,Laptop,01584a5d-95e9-4133-b0fc-7cc41634761c
355,Desktop,018d11c4-51fa-41c5-989f-98c8810ae8d0
1680,Tablet,018d11c4-51fa-41c5-989f-98c8810ae8d0
4337,Desktop,01a77c6b-6709-45cc-946b-10d33d1ede71
1916,Desktop,01bb9d1e-d24d-4ce3-b018-38f2a39b0332
2043,Tablet,01bb9d1e-d24d-4ce3-b018-38f2a39b0332
4837,Smartphone,01bc5458-3bd0-44a9-a5ac-20583949159f
6203,Smartphone,01bc5458-3bd0-44a9-a5ac-20583949159f
3164,Laptop,01cb31ca-a8fa-45ab-a7c6-8ad03f5e07bc
2793,Tablet,01f949e9-7552-4e1e-b556-a992584074f2
5435,Desktop,01f949e9-7552-4e1e-b556-a992584074f2
1610,Laptop,02028a00-2d96-487f-b7f4-a1dc54f92621
1188,Desktop,02102771-5497-4117-9797-840732f42a3b
2257,Tablet,021f6cd2-8c7d-4715-9687-5feeda0e231c
4514,Laptop,0240fc1f-491f-4dc1-b368-36a32000e19a
3835,Smart TV,026649df-667f-4953-94f5-21f617b1b79a
