User_ID,Session_ID,Session Date,Device_ID,Video_ID,Duration_Watched (minutes),Languages,Location,Playback_Quality,Advertisments
a9405ca6-0532-4e75-862f-c5ba778a2f1a,cb2142a7-0750-49ed-b8ac-a975fe1ff69a,5/23/2024,3364,390,26,Spanish,Reedshire,4K,0
be36c751-0d4a-4c29-a38d-55c54d1ec070,3bc0a662-b353-4015-8b0c-55ceb510d13a,5/12/2024,1432,443,108,Chinese,Stevenhaven,SD,0
c2e6afb9-128f-4278-91ae-5bbaeb2ec6f8,bd545b4a-9f54-4e87-b9f8-15ae20b44f22,8/6/2024,5334,389,116,Spanish,Vaughntown,HD,5
93746bbe-f006-4829-a43a-88244244687e,0441086d-c59e-478d-a496-5c5b995ecfdb,8/19/2024,4828,555,41,Spanish,East Raymondbury,SD,4
6296dd66-99b6-4355-9d43-08c23e1e186c,0295f01d-7f15-4799-856c-90c688697ef8,7/27/2023,5297,152,45,German,Michaelchester,HD,0
f1cfb1ca-faff-475b-8a8a-717675fd7cd1,ae95a7b7-6502-4da8-a6e5-9717b67c754a,2/19/2024,3427,390,112,French,Thomaston,SD,7
27e75fe7-1712-4358-9091-9f8edf7a755b,550c6267-4cb4-431f-b868-c834f468f9b7,12/1/2023,808,13,112,English,Brownside,HD,6
15d94957-2992-4426-b688-e9a528573127,51522575-8d6c-4489-bb07-ad8391d484e1,11/23/2023,2490,450,25,French,West Danieltown,4K,5
58e6cb9c-db1a-4301-b0dc-0b7c16355bc2,7e11bec1-7e50-4963-ab8d-f480c3634efc,10/13/2023,5888,342,70,German,Whitehaven,SD,7
ba2b5cef-5e87-40cf-b64e-efbfaf6ba6ed,32b6968e-3da0-4663-9c47-66cf3ea2cad7,5/20/2024,378,322,28,German,Richardsonburgh,SD,0
0a71c690-807f-4280-8cdd-f29aeb771ccc,c32ae59c-dd5e-4e73-b110-c1eeb3ebce49,11/7/2023,3504,450,104,English,North Dustinborough,SD,0
01584a5d-95e9-4133-b0fc-7cc41634761c,99eca3aa-122f-4b0b-860f-17f841855e85,7/5/2023,4788,330,155,English,Marilynhaven,HD,6
f6e61792-621f-45d8-ad6e-10022ccade20,e9830ba0-7745-4037-b235-659073d95a38,10/4/2023,2271,327,9,Spanish,Fisherborough,SD,8
2fb7b915-9082-4757-862a-f0cf28c06914,ace0bf96-8a87-476f-a9d5-987861c1f856,10/12/2022,3928,49,80,French,Ericbury,SD,0
482d5b6c-736b-40cc-8cb0-24f797deceba,37d6ffe7-2829-416b-ad71-115500f0e43d,10/7/2023,2304,292,10,German,Port Kathyshire,SD,0
f1ab0dc8-6c0e-4970-81d6-c6f2324af25b,19ba4998-3743-45d3-91ad-98c5920639dd,12/11/2023,5950,142,70,German,East Kaitlynville,HD,0
3244112e-2fa3-4cc9-bea9-485d52f6599c,0aa35154-8fe7-4d37-ba5e-37de65dddff2,12/22/2023,4046,140,68,French,South Benjaminport,SD,0
5e264439-a594-44a1-91c1-cf31342512a3,076c5024-6029-439c-979b-eb3fa8b0adde,11/5/2023,2149,227,123,Chinese,Dianaville,4K,4
d64e661c-9fd7-4221-9f51-c245ac417615,0008a39c-329a-43a5-8de6-98e33e5326d9,3/26/2024,4964,296,88,English,Riveraview,SD,7
777fd7e1-7698-425a-bea3-e3a7201c7475,d856a070-498d-4b6f-8899-1c866a36701f,5/2/2023,787,66,73,English,New Saraberg,4K,6
2e67a13e-a1b5-4223-933f-527622c8416d,79dd4a4b-585b-4013-b7c8-8afd9f29a3e5,2/19/2024,6198,172,95,French,Reyesville,HD,0
e58edd8e-6d90-437f-99b7-5b712356266c,fbbc70a4-fba3-41a5-ae23-5dbd5fdc5524,10/3/2023,2960,346,40,Spanish,North Vanessaton,HD,6
cef9f224-8b61-429d-85bf-ddae5f4e744e,4ead1a5b-7f4b-4fbc-9e3b-85cfe6dce702,7/13/2024,5108,77,94,Spanish,Port Thomas,HD,5
6c3c1d74-14d3-4cef-a99b-7c75a8bff560,ba275c7d-5da0-4b39-a05c-c4541bcd174e,5/2/2022,5482,580,85,German,Nicolefort,SD,8
31d32d3d-e0a9-4278-ba63-00ad659da7d3,78f60436-6d99-42dc-955b-34e39bfc10dc,12/1/2023,2708,93,48,German,East Adriana,4K,0
8d75a1a7-7857-4e48-9ead-962cc835523a,3f188b06-71e8-4cb6-be1b-d638dfe2fff4,2/28/2024,2438,123,85,English,North Luis,HD,7
49cd41f5-d8ce-4c6c-886c-0dfbbbba656c,becf0f2f-fbc7-4be7-89f6-7f4f9552a700,4/14/2023,5064,559,46,Chinese,East Cherylborough,SD,0
e5036ed7-497f-4782-b2f8-bdb83ea332f8,437be62f-fe75-4dc3-827a-de74737f47b2,12/7/2023,5778,158,89,German,New Jeremiahport,HD,7
c73d397a-7fc5-44d0-a945-e84f4b7a4dda,405a4c0b-ebf0-4683-b271-702d55973f16,1/8/2023,507,240,87,French,Lake Paul,HD,5
a3e81604-8049-4116-8719-01ea63159155,b4af1bfa-5926-48fc-9cba-39a76e6a6847,10/1/2023,4702,286,73,Spanish,South Robertbury,4K,0
ee90f1bb-5919-4d3c-9d8a-168f035dd3ea,bacb7f4a-6e0c-420c-9ead-cf0bc5f3a126,12/1/2022,554,8,30,Spanish,East Dawnland,HD,0
434a93e3-1390-4481-96d6-c0d7541822cf,c0b32771-6c3f-40c7-82a7-3c74858a4716,4/14/2024,1948,134,3,Chinese,Cindymouth,4K,0
27f4f616-ab2f-474c-8672-f87232007881,458a8b64-fdae-4dcd-a6a2-f06a2a7b9f72,12/20/2023,278,61,60,German,New Kristi,HD,0
df80ebf5-5623-4050-8cf8-649ee1debd6c,b4340fb6-3de4-471f-b34a-d1c39e0af909,1/6/2024,4781,61,86,German,Lake Carolynfort,SD,4
1414044e-1c01-4aa4-b7d1-458e269e7ecd,3210fa04-e92c-4bd5-b6a2-73e943a6631e,2/6/2024,926,236,118,German,Perezport,SD,8
6d064879-6d2b-44c9-8cf0-bfe2c544329d,a8767ccf-93b4-4450-8e51-a2511cf1c82b,8/2/2023,20,584,40,French,East Angelamouth,4K,0
c3a5e605-c146-4682-af41-5077630269d9,9779c5db-bf7b-4b5d-a76f-70a60f20b266,6/15/2023,136,261,104,English,Jenkinsport,HD,0
ee074900-4cf0-4cbb-98bf-8d0f894f60a3,da77e08f-b6c0-4c4a-8bee-bc8366635c57,8/26/2024,3766,280,32,Spanish,West Crystal,SD,0
5bbdb21f-7005-48ba-8518-d8dfdea31fcb,fef96555-eaf4-4240-bf80-234b18949297,8/9/2023,3813,70,98,French,Gardnershire,HD,4
d58bf61c-493d-4491-80e3-c5606f4d656a,1ea6c6fb-6a3f-4e07-a05c-bbd7bf4b0c9f,12/15/2022,1020,354,103,French,Sandramouth,HD,8
004d4bdb-faad-4569-a50b-a7926aa3bb22,0b986016-8c2c-40bf-8454-01283d4bba9e,11/5/2023,3236,256,48,Chinese,East Tracy,4K,0
2a17bd57-1068-4fc4-91e1-2b6e6830f499,943d8f10-2c26-432a-b4be-0f58e73f6e1b,10/9/2023,2854,481,82,German,Gatesside,SD,0
6e250ce8-763e-42e1-b775-6208209e7e09,d979d648-063d-48f1-9477-7184bd6778f8,3/4/2024,142,74,70,Chinese,North Stephentown,4K,5
d4671557-ec52-4ec3-9d00-7eacfe68235f,00371bc7-d577-46cb-89b5-a44aa910eee5,3/9/2024,462,104,69,English,Johnstonchester,SD,0
dd69acf3-5b6a-4210-90e0-40f7b9dd980a,8b8a45f5-7eef-43a8-a161-573675a48ea1,4/13/2023,367,480,43,German,Guerrafurt,HD,0
7469db4e-8651-40be-a99a-da468792c6c6,ff722937-b583-4cb3-9897-1c00feb6f557,8/1/2024,1756,273,78,English,Port Kylestad,4K,0
6cd3a948-e60b-4e46-95e5-3993b6768f60,4871b72e-cb14-49a9-844a-fc9da570c809,8/9/2024,4219,135,10,French,Allisonton,4K,5
c66acb23-3a49-497e-955f-73e02f715f72,9613627b-73f1-42cf-a389-8e86c8845696,8/14/2023,2256,101,101,Chinese,Lisaside,SD,5
eb8d4e75-b122-40d9-9422-b3b8c7affe55,d83473cf-3855-4316-a691-91ad0cf8390c,8/20/2024,2247,563,45,English,Daviesshire,HD,0
2fb841dd-8c84-4d44-8e92-79e6dd6742d6,a3289ac1-2032-4582-ae7a-998e176fd18b,3/28/2024,790,242,90,English,New Kevinhaven,SD,0
ab0fe6ff-cd28-4177-bb8a-550cd6162981,75422baf-2969-4e20-a352-3a388d25ae75,8/1/2023,4213,354,81,French,South Todd,HD,0
3463e0c9-b54f-4d35-917f-49dbcd57028d,270388b4-8387-4ea7-8413-b1bac30cd8a7,2/7/2023,2569,316,90,Chinese,East Raven,SD,5
427bfefd-c1d5-4a8f-b33f-463513ab901a,178cecf1-8103-4a67-9ec7-267794bbbebe,12/14/2022,5264,71,94,Spanish,Emilyborough,SD,6
19610cae-232c-4cb2-9bce-141dc66e6d46,b7182a6b-7aaa-4a1c-9a64-750dea499243,12/18/2023,2462,72,112,Spanish,Grossbury,4K,0
7982e927-579f-462a-8f64-4488f5171ecc,c66bc6ed-7fca-448f-8ac8-08448a47344c,3/30/2024,1989,191,59,Spanish,West Drew,HD,0
f9449b89-36b9-4a1a-8b9e-1507319850ec,51c2592b-fc00-49fe-9ab7-5a5b8c4416be,6/17/2024,83,52,15,English,Amberside,4K,8
8cbfe5c9-70cb-48cd-b92c-e64f2706a098,2388cf1a-8f19-480a-83e6-3116bfc3e7cc,11/6/2023,5193,477,11,English,West Kelly,HD,4
2158a0c5-fd25-4f2c-8b9f-a480ad78a049,ce1fcd35-c19a-484e-8b70-8877aedf6bf6,5/26/2024,2891,228,104,Chinese,Conleytown,SD,0
872845ae-bc19-460a-a990-7629faecc290,3a2cc69f-3715-4e9c-b82e-e928e07b88ba,7/25/2023,1198,446,70,English,New Andrefurt,4K,0
a307ead0-6188-42c4-bbc3-427d72c42e8a,0d4b4c43-ef91-497c-afa4-24397aa24c31,8/29/2022,5300,581,71,Chinese,West Matthew,HD,0
8ce71675-3260-4abb-a69e-f3761915e515,97047584-b938-4ac4-b3dc-e0039d77a1d3,8/3/2024,1866,20,102,English,East Amber,SD,0
818e5c7d-bb50-4f81-ab88-621159344163,0a6a2d1b-ed26-4bb5-972e-293b1a49faff,7/29/2024,1353,506,105,English,New Kristenland,4K,7
f6757500-8ead-4b96-a950-6255a1853c51,47b1e4c4-4f82-4f29-bb19-2cf11b9904b4,9/8/2023,4167,81,27,German,North Amanda,SD,0
167b625c-8acb-46cf-b5e9-449827866d94,e79a9b56-922b-4898-8954-cbe7b0e962af,2/14/2024,1994,187,102,Spanish,Port Brian,4K,0
fec3c9dc-da35-4772-9e07-c15cd72467a0,5073fe12-ebbb-4cc8-8316-6a495b2cd55f,4/1/2023,4560,111,94,Chinese,Lake Jeffreybury,SD,5
cfe636ff-b3de-4dc9-b52e-fecd86a084d1,52100f2c-357d-4996-89b9-60ac6fff79de,4/10/2024,3283,128,89,German,New Amy,HD,0
e0b9051d-0698-46bf-a149-10afdecbec9a,5e39e31a-142e-4156-9c3c-db97e7512921,6/18/2023,5459,67,99,Spanish,Port Daniel,HD,0
d9b54ac2-f01d-4f77-aa9b-71fabde1a679,98b1dd4e-0fd4-4d16-afe9-2adccb7c126b,8/20/2023,5470,316,85,Chinese,Lake Alexland,4K,6
62048a20-fe31-423f-8ade-074cdef55e98,f342dcb2-a27a-429b-abf6-b2c782dd6139,8/14/2024,2443,532,2,German,North Michellestad,SD,0
73d69962-694e-4b79-8089-b20ed5877181,c817845b-ea84-4bd6-abac-d86894b1a8ab,8/23/2022,2078,49,80,Spanish,East Philip,HD,4
5179d4bd-3f58-443a-9444-bfc1b8144db3,a62e5985-ff9c-467c-a5d6-c8584368f798,7/16/2023,5960,534,23,French,Robertchester,SD,5
005b6f1b-eff6-48fd-9a3c-fae2ef112898,b01e2133-8516-49d5-8568-e8b465b828ba,8/19/2024,2157,404,39,Spanish,Geraldside,SD,0
acf8928a-3b00-4448-9c6d-084dfc0c30ff,4f91f94d-f5ce-4581-a7f3-66589e3e43d3,8/6/2024,3632,7,147,Spanish,East Robert,SD,8
9d987c95-9735-4df4-b815-cf0b07c3cf99,4ad19f3d-9233-41c2-9cdb-9d0f1303e715,7/26/2023,1369,32,37,Chinese,Chasefurt,4K,0
ed1c5eea-4f70-49ed-b6fa-250b6e2dc9ef,4f2fb5a7-dbfb-461d-a06e-a72e1d880857,2/7/2024,2223,551,80,Spanish,West John,SD,6
c26a145b-087d-4eaf-8fc5-968481239f02,b956cf78-3ce1-4371-86b7-23ed8a1422ea,6/7/2023,2589,214,97,French,West Mark,4K,0
cb2c375a-eed2-44a6-91ea-051322aec22d,18f7159b-d3aa-4183-8a42-4d352ebd1ae2,3/4/2024,2207,65,38,Chinese,West Stephenchester,HD,0
d9de011f-a642-447e-9af7-0cea89c9cd0d,ccc22861-3aa8-417f-9dff-3d3541199a09,1/14/2024,4299,392,76,German,West Abigail,SD,7
9a70b92d-c767-4732-bbc4-d6b91000ddf7,e7594391-3599-43f1-ae17-c08a4b9ab74b,8/21/2023,2065,377,80,Spanish,Port Edwardstad,SD,0
934d5f0d-c866-4beb-8029-1b273bce9d88,4752d0bb-9734-4174-b4bc-f2f04ccf7980,2/21/2024,4069,568,10,Chinese,Davidland,SD,6
